"cmp_index"	"question"	"answer1"	"answer2"	"A"	"B"	"reference_answer"	"evaluating_guidance"	"task"	"gpt-3.5-turbo-1106"	"extracted"
"question0_semantic-chunking;gpt-3.5-turbo-1106;lc-percentile"	"Semantic chunking of the following content: 购买新车后没有明确要求多长时间内必须办理上牌手续，但是受一些其它情况的限制，比如环保的要求，北京的汽车尾气排放环保标准是在逐渐提高的，如果买的车很长时间没有办理上牌手续，环保标准提高了以后车辆可能就达不到新的标准，就不能上牌。另外，国产机动车要通过国家批准通告才能生产销售，如果买了车长期不上牌，通告有可能取消或发生变更，这种情况也会影响新车的上牌。"	"1:::[购买新车后没有明确要求多长时间内必须办理上牌手续，但是受一些其它情况的限制，比如环保的要求，]|||[购买新车后没有明确要求多长时间内必须办理上牌手续，但是受一些其它情况的限制，比如环保的要求，]
2:::[北京的汽车尾气排放环保标准是在逐渐提高的，如果买的车很长时间没有办理上牌手续，环保标准提高了以后车辆可能就达不到新的标准，就不能上牌。]|||[北京的汽车尾气排放环保标准是在逐渐提高的，如果买的车很长时间没有办理上牌手续，环保标准提高了以后车辆可能就达不到新的标准，就不能上牌。]
3:::[另外，国产机动车要通过国家批准通告才能生产销售，如果买了车长期不上牌，通告有可能取消或发生变更，这种情况也会影响新车的上牌。]|||[另外，国产机动车要通过国家批准通告才能生产销售，如果买了车长期不上牌，通告有可能取消或发生变更，这种情况也会影响新车的上牌。]"	"1:::购买新车后没有明确要求多长时间内必须办理上牌手续，但是受一些其它情况的限制，比如环保的要求，北京的汽车尾气排放环保标准是在逐渐提高的，如果买的车很长时间没有办理上牌手续，环保标准提高了以后车辆可能就达不到新的标准，就不能上牌。另外，国产机动车要通过国家批准通告才能生产销售，如果买了车长期不上牌，通告有可能取消或发生变更，这种情况也会影响新车的上牌。"	"gpt-3.5-turbo-1106"	"lc-percentile"	""	""	"semantic-chunking"	"Choice: B
Reason:
1. Response 2 is better than Response 1 because it is more concise and does not repeat the same information multiple times.
2. Both responses are well-formatted and clearly-structured, so they both receive extra credit for this aspect."	"B"
"question0_semantic-chunking;lc-percentile;gpt-3.5-turbo-1106"	"Semantic chunking of the following content: 购买新车后没有明确要求多长时间内必须办理上牌手续，但是受一些其它情况的限制，比如环保的要求，北京的汽车尾气排放环保标准是在逐渐提高的，如果买的车很长时间没有办理上牌手续，环保标准提高了以后车辆可能就达不到新的标准，就不能上牌。另外，国产机动车要通过国家批准通告才能生产销售，如果买了车长期不上牌，通告有可能取消或发生变更，这种情况也会影响新车的上牌。"	"1:::购买新车后没有明确要求多长时间内必须办理上牌手续，但是受一些其它情况的限制，比如环保的要求，北京的汽车尾气排放环保标准是在逐渐提高的，如果买的车很长时间没有办理上牌手续，环保标准提高了以后车辆可能就达不到新的标准，就不能上牌。另外，国产机动车要通过国家批准通告才能生产销售，如果买了车长期不上牌，通告有可能取消或发生变更，这种情况也会影响新车的上牌。"	"1:::[购买新车后没有明确要求多长时间内必须办理上牌手续，但是受一些其它情况的限制，比如环保的要求，]|||[购买新车后没有明确要求多长时间内必须办理上牌手续，但是受一些其它情况的限制，比如环保的要求，]
2:::[北京的汽车尾气排放环保标准是在逐渐提高的，如果买的车很长时间没有办理上牌手续，环保标准提高了以后车辆可能就达不到新的标准，就不能上牌。]|||[北京的汽车尾气排放环保标准是在逐渐提高的，如果买的车很长时间没有办理上牌手续，环保标准提高了以后车辆可能就达不到新的标准，就不能上牌。]
3:::[另外，国产机动车要通过国家批准通告才能生产销售，如果买了车长期不上牌，通告有可能取消或发生变更，这种情况也会影响新车的上牌。]|||[另外，国产机动车要通过国家批准通告才能生产销售，如果买了车长期不上牌，通告有可能取消或发生变更，这种情况也会影响新车的上牌。]"	"lc-percentile"	"gpt-3.5-turbo-1106"	""	""	"semantic-chunking"	"Choice: A
Reason:
1. Response 1 is better than Response 2 because it is well-structured and clearly formatted, while Response 2 is repetitive and verbose, which goes against the scoring criteria.
2. Response 1 provides a complete and concise answer to the question, while Response 2 unnecessarily repeats the same information, making it less effective."	"A"
"question3_semantic-chunking;gpt-3.5-turbo-1106;lc-percentile"	"Semantic chunking of the following content: 依据《北京市实施〈中华人民共和国道路交通安全法〉办法》第十一条的规定：“摩托车和道路专项作业车辆登记，应当符合本市的交通发展规划，在限定的区域内实行总量控制”。本市在城六区（东城、西城、朝阳、海淀、丰台、石景山）内停止新增摩托车注册登记，仅限办理身份证明记载的住所地址为远郊区县的核发京B号牌摩托车牌证。"	"1:::依据《北京市实施〈中华人民共和国道路交通安全法〉办法》第十一条的规定：“摩托车和道路专项作业车辆登记，应当符合本市的交通发展规划，在限定的区域内实行总量控制”|||摩托车和道路专项作业车辆登记，应当符合本市的交通发展规划，在限定的区域内实行总量控制
2:::本市在城六区（东城、西城、朝阳、海淀、丰台、石景山）内停止新增摩托车注册登记，仅限办理身份证明记载的住所地址为远郊区县的核发京B号牌摩托车牌证|||本市在城六区内停止新增摩托车注册登记，仅限办理身份证明记载的住所地址为远郊区县的核发京B号牌摩托车牌证"	"1:::依据《北京市实施〈中华人民共和国道路交通安全法〉办法》第十一条的规定：“摩托车和道路专项作业车辆登记，应当符合本市的交通发展规划，在限定的区域内实行总量控制”。本市在城六区（东城、西城、朝阳、海淀、丰台、石景山）内停止新增摩托车注册登记，仅限办理身份证明记载的住所地址为远郊区县的核发京B号牌摩托车牌证。"	"gpt-3.5-turbo-1106"	"lc-percentile"	""	""	"semantic-chunking"	"Choice: B
Reason:
1. Response 2 is better than Response 1 because it provides the complete semantic chunking of the given content, including all the required key components.
2. Both responses are well-formatted and clearly-structured, so no extra credit is given in this aspect.
3. Response 2 is not verbose or repetitive, while Response 1 repeats the same information in a redundant manner, which is considered negatively based on the extent."	"B"
"question3_semantic-chunking;lc-percentile;gpt-3.5-turbo-1106"	"Semantic chunking of the following content: 依据《北京市实施〈中华人民共和国道路交通安全法〉办法》第十一条的规定：“摩托车和道路专项作业车辆登记，应当符合本市的交通发展规划，在限定的区域内实行总量控制”。本市在城六区（东城、西城、朝阳、海淀、丰台、石景山）内停止新增摩托车注册登记，仅限办理身份证明记载的住所地址为远郊区县的核发京B号牌摩托车牌证。"	"1:::依据《北京市实施〈中华人民共和国道路交通安全法〉办法》第十一条的规定：“摩托车和道路专项作业车辆登记，应当符合本市的交通发展规划，在限定的区域内实行总量控制”。本市在城六区（东城、西城、朝阳、海淀、丰台、石景山）内停止新增摩托车注册登记，仅限办理身份证明记载的住所地址为远郊区县的核发京B号牌摩托车牌证。"	"1:::依据《北京市实施〈中华人民共和国道路交通安全法〉办法》第十一条的规定：“摩托车和道路专项作业车辆登记，应当符合本市的交通发展规划，在限定的区域内实行总量控制”|||摩托车和道路专项作业车辆登记，应当符合本市的交通发展规划，在限定的区域内实行总量控制
2:::本市在城六区（东城、西城、朝阳、海淀、丰台、石景山）内停止新增摩托车注册登记，仅限办理身份证明记载的住所地址为远郊区县的核发京B号牌摩托车牌证|||本市在城六区内停止新增摩托车注册登记，仅限办理身份证明记载的住所地址为远郊区县的核发京B号牌摩托车牌证"	"lc-percentile"	"gpt-3.5-turbo-1106"	""	""	"semantic-chunking"	"Choice: A
Reason:
1. Response 1 and Response 2 both provide the required semantic chunking of the content.
2. Response 1 is well-structured and clearly formatted, while Response 2 is repetitive and verbose, which goes against the scoring criteria.
3. Response 1 is better than Response 2 because it is complete, well-structured, and does not contain unnecessary repetition."	"A"
"question4_semantic-chunking;gpt-3.5-turbo-1106;lc-percentile"	"Semantic chunking of the following content: 您可下载“交管12123”APP或者登录（https://bj.122.gov.cn）互联网服务平台，完成注册后可在网上根据提示进行预选号牌操作。如有疑问，您可在互联网平台上进行模拟选号或者查看操作指南，或者也可在“交管12123”APP中“服务中心”—“业务指南”里查看相关流程图解。另外，除新车选号可以在线办理外，异地转入选号、本地二手车过户选号、新能源车换发号牌预选号牌均可在线办理。如果对网上选号不满意，申请人还可以在办理上牌手续时，通过现场“50选1”的方式进行选号。或者也可提出申请使用原号牌，如果符合条件并通过审核，可以继续使用原号牌。但需要注意的是，网上预选号成功后，若未在预选号有效期内到车管所确认互联网预选号牌，用户将被加入黑名单，两年内不可再通过互联网预选号牌。"	"1:::[您可下载“交管12123”APP或者登录（https://bj.122.gov.cn）互联网服务平台，完成注册后可在网上根据提示进行预选号牌操作。]|||[完成注册后可在网上根据提示进行预选号牌操作]
2:::[如有疑问，您可在互联网平台上进行模拟选号或者查看操作指南，或者也可在“交管12123”APP中“服务中心”—“业务指南”里查看相关流程图解。]|||[您可在互联网平台上进行模拟选号或者查看操作指南]
3:::[另外，除新车选号可以在线办理外，异地转入选号、本地二手车过户选号、新能源车换发号牌预选号牌均可在线办理。]|||[异地转入选号、本地二手车过户选号、新能源车换发号牌预选号牌均可在线办理]
4:::[如果对网上选号不满意，申请人还可以在办理上牌手续时，通过现场“50选1”的方式进行选号。]|||[通过现场“50选1”的方式进行选号]
5:::[或者也可提出申请使用原号牌，如果符合条件并通过审核，可以继续使用原号牌。]|||[提出申请使用原号牌]
6:::[但需要注意的是，网上预选号成功后，若未在预选号有效期内到车管所确认互联网预选号牌，用户将被加入黑名单，两年内不可再通过互联网预选号牌。]|||[若未在预选号有效期内到车管所确认互联网预选号牌，用户将被加入黑名单，两年内不可再通过互联网预选号牌]"	"1:::您可下载“交管12123”APP或者登录（https://bj.122.gov.cn）互联网服务平台，完成注册后可在网上根据提示进行预选号牌操作。如有疑问，您可在互联网平台上进行模拟选号或者查看操作指南，或者也可在“交管12123”APP中“服务中心”—“业务指南”里查看相关流程图解。另外，除新车选号可以在线办理外，异地转入选号、本地二手车过户选号、新能源车换发号牌预选号牌均可在线办理。如果对网上选号不满意，申请人还可以在办理上牌手续时，通过现场“50选1”的方式进行选号。或者也可提出申请使用原号牌，如果符合条件并通过审核，可以继续使用原号牌。但需要注意的是，网上预选号成功后，若未在预选号有效期内到车管所确认互联网预选号牌，用户将被加入黑名单，两年内不可再通过互联网预选号牌。"	"gpt-3.5-turbo-1106"	"lc-percentile"	""	""	"semantic-chunking"	"Choice: A
Reason:
1. Response 1 is better than Response 2 because it provides a well-formatted and clearly-structured breakdown of the content into distinct semantic chunks, making it easier to understand and process the information.
2. Response 1 avoids verbosity and repetition, focusing on the key components of the content without unnecessary repetition or elaboration.
3. Response 1 includes all the required key components of the content, ensuring that no important information is missing."	"A"
"question4_semantic-chunking;lc-percentile;gpt-3.5-turbo-1106"	"Semantic chunking of the following content: 您可下载“交管12123”APP或者登录（https://bj.122.gov.cn）互联网服务平台，完成注册后可在网上根据提示进行预选号牌操作。如有疑问，您可在互联网平台上进行模拟选号或者查看操作指南，或者也可在“交管12123”APP中“服务中心”—“业务指南”里查看相关流程图解。另外，除新车选号可以在线办理外，异地转入选号、本地二手车过户选号、新能源车换发号牌预选号牌均可在线办理。如果对网上选号不满意，申请人还可以在办理上牌手续时，通过现场“50选1”的方式进行选号。或者也可提出申请使用原号牌，如果符合条件并通过审核，可以继续使用原号牌。但需要注意的是，网上预选号成功后，若未在预选号有效期内到车管所确认互联网预选号牌，用户将被加入黑名单，两年内不可再通过互联网预选号牌。"	"1:::您可下载“交管12123”APP或者登录（https://bj.122.gov.cn）互联网服务平台，完成注册后可在网上根据提示进行预选号牌操作。如有疑问，您可在互联网平台上进行模拟选号或者查看操作指南，或者也可在“交管12123”APP中“服务中心”—“业务指南”里查看相关流程图解。另外，除新车选号可以在线办理外，异地转入选号、本地二手车过户选号、新能源车换发号牌预选号牌均可在线办理。如果对网上选号不满意，申请人还可以在办理上牌手续时，通过现场“50选1”的方式进行选号。或者也可提出申请使用原号牌，如果符合条件并通过审核，可以继续使用原号牌。但需要注意的是，网上预选号成功后，若未在预选号有效期内到车管所确认互联网预选号牌，用户将被加入黑名单，两年内不可再通过互联网预选号牌。"	"1:::[您可下载“交管12123”APP或者登录（https://bj.122.gov.cn）互联网服务平台，完成注册后可在网上根据提示进行预选号牌操作。]|||[完成注册后可在网上根据提示进行预选号牌操作]
2:::[如有疑问，您可在互联网平台上进行模拟选号或者查看操作指南，或者也可在“交管12123”APP中“服务中心”—“业务指南”里查看相关流程图解。]|||[您可在互联网平台上进行模拟选号或者查看操作指南]
3:::[另外，除新车选号可以在线办理外，异地转入选号、本地二手车过户选号、新能源车换发号牌预选号牌均可在线办理。]|||[异地转入选号、本地二手车过户选号、新能源车换发号牌预选号牌均可在线办理]
4:::[如果对网上选号不满意，申请人还可以在办理上牌手续时，通过现场“50选1”的方式进行选号。]|||[通过现场“50选1”的方式进行选号]
5:::[或者也可提出申请使用原号牌，如果符合条件并通过审核，可以继续使用原号牌。]|||[提出申请使用原号牌]
6:::[但需要注意的是，网上预选号成功后，若未在预选号有效期内到车管所确认互联网预选号牌，用户将被加入黑名单，两年内不可再通过互联网预选号牌。]|||[若未在预选号有效期内到车管所确认互联网预选号牌，用户将被加入黑名单，两年内不可再通过互联网预选号牌]"	"lc-percentile"	"gpt-3.5-turbo-1106"	""	""	"semantic-chunking"	"Choice: B
Reason:
1. Response 2 is better than Response 1 because it provides a well-formatted and clearly-structured breakdown of the content into smaller, more manageable parts, making it easier to understand and follow.
2. Response 2 avoids being verbose and repetitive, while Response 1 presents the information in a lengthy and repetitive manner, which can be considered negatively based on the extent."	"B"
"question5_semantic-chunking;gpt-3.5-turbo-1106;lc-percentile"	"Semantic chunking of the following content: 1、在国内购买的机动车，其来历证明是全国统一的机动车销售发票。在国外购买的机动车，其来历证明是该车销售单位开具的销售发票及其翻译文本，但海关监管的机动车不需提供来历证明；2、机关、企业、事业单位和社会团体统一采购并调拨到下属单位未注册登记的机动车，其来历证明是全国统一的机动车销售发票和该部门出具的调拨证明。"	"1:::在国内购买的机动车，其来历证明是全国统一的机动车销售发票。|||国内购买的机动车
2:::在国外购买的机动车，其来历证明是该车销售单位开具的销售发票及其翻译文本，但海关监管的机动车不需提供来历证明；|||国外购买的机动车
3:::机关、企业、事业单位和社会团体统一采购并调拨到下属单位未注册登记的机动车，其来历证明是全国统一的机动车销售发票和该部门出具的调拨证明。|||机关、企业、事业单位和社会团体统一采购并调拨到下属单位未注册登记的机动车"	"1:::1、在国内购买的机动车，其来历证明是全国统一的机动车销售发票。在国外购买的机动车，其来历证明是该车销售单位开具的销售发票及其翻译文本，但海关监管的机动车不需提供来历证明；2、机关、企业、事业单位和社会团体统一采购并调拨到下属单位未注册登记的机动车，其来历证明是全国统一的机动车销售发票和该部门出具的调拨证明。"	"gpt-3.5-turbo-1106"	"lc-percentile"	""	""	"semantic-chunking"	"Choice: A
Reason:
1. Response 1 is better than Response 2 because it provides a clear and well-structured semantic chunking of the content, with each point separated and labeled. Response 2, on the other hand, presents the content in a single chunk without clear separation, making it less well-structured.
2. Response 1 is better because it is not verbose or repetitive, while Response 2 presents the content in a single chunk without clear separation, making it less well-structured."	"A"
"question5_semantic-chunking;lc-percentile;gpt-3.5-turbo-1106"	"Semantic chunking of the following content: 1、在国内购买的机动车，其来历证明是全国统一的机动车销售发票。在国外购买的机动车，其来历证明是该车销售单位开具的销售发票及其翻译文本，但海关监管的机动车不需提供来历证明；2、机关、企业、事业单位和社会团体统一采购并调拨到下属单位未注册登记的机动车，其来历证明是全国统一的机动车销售发票和该部门出具的调拨证明。"	"1:::1、在国内购买的机动车，其来历证明是全国统一的机动车销售发票。在国外购买的机动车，其来历证明是该车销售单位开具的销售发票及其翻译文本，但海关监管的机动车不需提供来历证明；2、机关、企业、事业单位和社会团体统一采购并调拨到下属单位未注册登记的机动车，其来历证明是全国统一的机动车销售发票和该部门出具的调拨证明。"	"1:::在国内购买的机动车，其来历证明是全国统一的机动车销售发票。|||国内购买的机动车
2:::在国外购买的机动车，其来历证明是该车销售单位开具的销售发票及其翻译文本，但海关监管的机动车不需提供来历证明；|||国外购买的机动车
3:::机关、企业、事业单位和社会团体统一采购并调拨到下属单位未注册登记的机动车，其来历证明是全国统一的机动车销售发票和该部门出具的调拨证明。|||机关、企业、事业单位和社会团体统一采购并调拨到下属单位未注册登记的机动车"	"lc-percentile"	"gpt-3.5-turbo-1106"	""	""	"semantic-chunking"	"Choice: B
Reason:
1. Response 2 is better than Response 1 because it is well-formatted and clearly-structured, with each chunk of information separated by ""|||"", making it easier to understand and follow.
2. Response 1 is verbose and repetitive, as it repeats the entire content without any clear separation or formatting, making it less effective in conveying the information."	"B"
"question7_semantic-chunking;gpt-3.5-turbo-1106;lc-percentile"	"Semantic chunking of the following content: 1、进口汽车的进口凭证，是国家限定口岸海关签发的《货物进口证明书》；&#10;2、其他进口机动车的进口凭证，是各口岸海关签发的《货物进口证明书》；&#10;3、海关监管的机动车的进口凭证，是监管地海关出具的《中华人民共和国海关监管车辆进（出）境领（销）牌照通知书》；&#10;4、国家授权的执法部门没收的走私、无进口证明和利用进口关键件非法拼（组）装的机动车的进口凭证，是该部门签发的《没收走私汽车、摩托车证明书》。"	"1:::进口汽车的进口凭证，是国家限定口岸海关签发的《货物进口证明书》|||进口汽车的进口凭证
2:::其他进口机动车的进口凭证，是各口岸海关签发的《货物进口证明书》|||其他进口机动车的进口凭证
3:::海关监管的机动车的进口凭证，是监管地海关出具的《中华人民共和国海关监管车辆进（出）境领（销）牌照通知书》|||海关监管的机动车的进口凭证
4:::国家授权的执法部门没收的走私、无进口证明和利用进口关键件非法拼（组）装的机动车的进口凭证，是该部门签发的《没收走私汽车、摩托车证明书》|||国家授权的执法部门没收的走私、无进口证明和利用进口关键件非法拼（组）装的机动车的进口凭证"	"1:::1、进口汽车的进口凭证，是国家限定口岸海关签发的《货物进口证明书》；&#10;2、其他进口机动车的进口凭证，是各口岸海关签发的《货物进口证明书》；&#10;3、海关监管的机动车的进口凭证，是监管地海关出具的《中华人民共和国海关监管车辆进（出）境领（销）牌照通知书》；&#10;4、国家授权的执法部门没收的走私、无进口证明和利用进口关键件非法拼（组）装的机动车的进口凭证，是该部门签发的《没收走私汽车、摩托车证明书》。"	"gpt-3.5-turbo-1106"	"lc-percentile"	""	""	"semantic-chunking"	"Choice: A
Reason:
1. Response 1 is better than Response 2 because it provides a clear and concise semantic chunking of the content, breaking it down into four distinct points. Response 2, on the other hand, presents the content in a single block of text without any clear separation of the individual points, making it less well-structured.
2. Response 1 is better than Response 2 because it follows the guidance of providing a well-formatted and clearly-structured response. It clearly separates each point with a double colon and vertical bars, making it easier to read and understand. Response 2, however, lacks this clear formatting, making it less visually appealing and harder to follow."	"A"
"question7_semantic-chunking;lc-percentile;gpt-3.5-turbo-1106"	"Semantic chunking of the following content: 1、进口汽车的进口凭证，是国家限定口岸海关签发的《货物进口证明书》；&#10;2、其他进口机动车的进口凭证，是各口岸海关签发的《货物进口证明书》；&#10;3、海关监管的机动车的进口凭证，是监管地海关出具的《中华人民共和国海关监管车辆进（出）境领（销）牌照通知书》；&#10;4、国家授权的执法部门没收的走私、无进口证明和利用进口关键件非法拼（组）装的机动车的进口凭证，是该部门签发的《没收走私汽车、摩托车证明书》。"	"1:::1、进口汽车的进口凭证，是国家限定口岸海关签发的《货物进口证明书》；&#10;2、其他进口机动车的进口凭证，是各口岸海关签发的《货物进口证明书》；&#10;3、海关监管的机动车的进口凭证，是监管地海关出具的《中华人民共和国海关监管车辆进（出）境领（销）牌照通知书》；&#10;4、国家授权的执法部门没收的走私、无进口证明和利用进口关键件非法拼（组）装的机动车的进口凭证，是该部门签发的《没收走私汽车、摩托车证明书》。"	"1:::进口汽车的进口凭证，是国家限定口岸海关签发的《货物进口证明书》|||进口汽车的进口凭证
2:::其他进口机动车的进口凭证，是各口岸海关签发的《货物进口证明书》|||其他进口机动车的进口凭证
3:::海关监管的机动车的进口凭证，是监管地海关出具的《中华人民共和国海关监管车辆进（出）境领（销）牌照通知书》|||海关监管的机动车的进口凭证
4:::国家授权的执法部门没收的走私、无进口证明和利用进口关键件非法拼（组）装的机动车的进口凭证，是该部门签发的《没收走私汽车、摩托车证明书》|||国家授权的执法部门没收的走私、无进口证明和利用进口关键件非法拼（组）装的机动车的进口凭证"	"lc-percentile"	"gpt-3.5-turbo-1106"	""	""	"semantic-chunking"	"Choice: B
Reason:
1. Response 2 is better than Response 1 because it provides a clearer and more well-structured semantic chunking of the content. Response 1 is a direct copy of the original content without any additional formatting or structuring, making it less clear and well-organized.
2. Response 2 is better because it avoids being verbose and repetitive, while Response 1 simply repeats the original content without adding any value or clarity. This makes Response 1 less effective in conveying the information."	"B"
