doc_title,title,content_to_chunk,lc_chunked_results-percentile,lc_chunked_results-standard_deviation
新车购买后必须在多长时间内办理上牌手续,新车购买后必须在多长时间内办理上牌手续,购买新车后没有明确要求多长时间内必须办理上牌手续，但是受一些其它情况的限制，比如环保的要求，北京的汽车尾气排放环保标准是在逐渐提高的，如果买的车很长时间没有办理上牌手续，环保标准提高了以后车辆可能就达不到新的标准，就不能上牌。另外，国产机动车要通过国家批准通告才能生产销售，如果买了车长期不上牌，通告有可能取消或发生变更，这种情况也会影响新车的上牌。,1:::购买新车后没有明确要求多长时间内必须办理上牌手续，但是受一些其它情况的限制，比如环保的要求，北京的汽车尾气排放环保标准是在逐渐提高的，如果买的车很长时间没有办理上牌手续，环保标准提高了以后车辆可能就达不到新的标准，就不能上牌。另外，国产机动车要通过国家批准通告才能生产销售，如果买了车长期不上牌，通告有可能取消或发生变更，这种情况也会影响新车的上牌。,1:::购买新车后没有明确要求多长时间内必须办理上牌手续，但是受一些其它情况的限制，比如环保的要求，北京的汽车尾气排放环保标准是在逐渐提高的，如果买的车很长时间没有办理上牌手续，环保标准提高了以后车辆可能就达不到新的标准，就不能上牌。另外，国产机动车要通过国家批准通告才能生产销售，如果买了车长期不上牌，通告有可能取消或发生变更，这种情况也会影响新车的上牌。
办理新车上牌手续可以由他人代办吗,办理新车上牌手续可以由他人代办吗,办理新车上牌手续可以由他人代办，需要提供车主本人的身份证（若车主身份证是外地核发的，还需提供居住证或居住登记卡），代办人的身份证以及车主出具的书面委托书。其中申请小型、微型非营运载客汽车注册登记的免予提交居住证明。机动车所有人为个人且已通过“交管12123”手机APP申请网上委托的，代理人无需提交纸质委托书。,1:::办理新车上牌手续可以由他人代办，需要提供车主本人的身份证（若车主身份证是外地核发的，还需提供居住证或居住登记卡），代办人的身份证以及车主出具的书面委托书。其中申请小型、微型非营运载客汽车注册登记的免予提交居住证明。机动车所有人为个人且已通过“交管12123”手机APP申请网上委托的，代理人无需提交纸质委托书。,1:::办理新车上牌手续可以由他人代办，需要提供车主本人的身份证（若车主身份证是外地核发的，还需提供居住证或居住登记卡），代办人的身份证以及车主出具的书面委托书。其中申请小型、微型非营运载客汽车注册登记的免予提交居住证明。机动车所有人为个人且已通过“交管12123”手机APP申请网上委托的，代理人无需提交纸质委托书。
置换或报废车辆后能否继续使用原旧车的号牌号码,置换或报废车辆后能否继续使用原旧车的号牌号码,机动车在办理转移登记或者注销登记后，原机动车所有人申请办理机动车转移登记时，可以申请使用原机动车号牌号码。但应当符合下列条件：（1）在办理机动车迁出、共同所有人变更、转让登记或者注销登记后两年内提出申请；（2）机动车所有人拥有原机动车且使用原号牌号码一年以上；（3）涉及原机动车的道路交通安全违法行为和交通事故处理完毕。若申请人符合以上条件，则可在办理新车上牌手续或者二手车过户时直接告知工作人员申请使用原号牌。,1:::机动车在办理转移登记或者注销登记后，原机动车所有人申请办理机动车转移登记时，可以申请使用原机动车号牌号码。但应当符合下列条件：（1）在办理机动车迁出、共同所有人变更、转让登记或者注销登记后两年内提出申请；（2）机动车所有人拥有原机动车且使用原号牌号码一年以上；（3）涉及原机动车的道路交通安全违法行为和交通事故处理完毕。若申请人符合以上条件，则可在办理新车上牌手续或者二手车过户时直接告知工作人员申请使用原号牌。,1:::机动车在办理转移登记或者注销登记后，原机动车所有人申请办理机动车转移登记时，可以申请使用原机动车号牌号码。但应当符合下列条件：（1）在办理机动车迁出、共同所有人变更、转让登记或者注销登记后两年内提出申请；（2）机动车所有人拥有原机动车且使用原号牌号码一年以上；（3）涉及原机动车的道路交通安全违法行为和交通事故处理完毕。若申请人符合以上条件，则可在办理新车上牌手续或者二手车过户时直接告知工作人员申请使用原号牌。
身份证明地址不在远郊区县，是否能办理京B摩托车的上牌手续,身份证明地址不在远郊区县，是否能办理京B摩托车的上牌手续,依据《北京市实施〈中华人民共和国道路交通安全法〉办法》第十一条的规定：“摩托车和道路专项作业车辆登记，应当符合本市的交通发展规划，在限定的区域内实行总量控制”。本市在城六区（东城、西城、朝阳、海淀、丰台、石景山）内停止新增摩托车注册登记，仅限办理身份证明记载的住所地址为远郊区县的核发京B号牌摩托车牌证。,1:::依据《北京市实施〈中华人民共和国道路交通安全法〉办法》第十一条的规定：“摩托车和道路专项作业车辆登记，应当符合本市的交通发展规划，在限定的区域内实行总量控制”。本市在城六区（东城、西城、朝阳、海淀、丰台、石景山）内停止新增摩托车注册登记，仅限办理身份证明记载的住所地址为远郊区县的核发京B号牌摩托车牌证。,1:::依据《北京市实施〈中华人民共和国道路交通安全法〉办法》第十一条的规定：“摩托车和道路专项作业车辆登记，应当符合本市的交通发展规划，在限定的区域内实行总量控制”。本市在城六区（东城、西城、朝阳、海淀、丰台、石景山）内停止新增摩托车注册登记，仅限办理身份证明记载的住所地址为远郊区县的核发京B号牌摩托车牌证。
如何办理网上选号业务,如何办理网上选号业务,您可下载“交管12123”APP或者登录（https://bj.122.gov.cn）互联网服务平台，完成注册后可在网上根据提示进行预选号牌操作。如有疑问，您可在互联网平台上进行模拟选号或者查看操作指南，或者也可在“交管12123”APP中“服务中心”—“业务指南”里查看相关流程图解。另外，除新车选号可以在线办理外，异地转入选号、本地二手车过户选号、新能源车换发号牌预选号牌均可在线办理。如果对网上选号不满意，申请人还可以在办理上牌手续时，通过现场“50选1”的方式进行选号。或者也可提出申请使用原号牌，如果符合条件并通过审核，可以继续使用原号牌。但需要注意的是，网上预选号成功后，若未在预选号有效期内到车管所确认互联网预选号牌，用户将被加入黑名单，两年内不可再通过互联网预选号牌。,1:::您可下载“交管12123”APP或者登录（https://bj.122.gov.cn）互联网服务平台，完成注册后可在网上根据提示进行预选号牌操作。如有疑问，您可在互联网平台上进行模拟选号或者查看操作指南，或者也可在“交管12123”APP中“服务中心”—“业务指南”里查看相关流程图解。另外，除新车选号可以在线办理外，异地转入选号、本地二手车过户选号、新能源车换发号牌预选号牌均可在线办理。如果对网上选号不满意，申请人还可以在办理上牌手续时，通过现场“50选1”的方式进行选号。或者也可提出申请使用原号牌，如果符合条件并通过审核，可以继续使用原号牌。但需要注意的是，网上预选号成功后，若未在预选号有效期内到车管所确认互联网预选号牌，用户将被加入黑名单，两年内不可再通过互联网预选号牌。,1:::您可下载“交管12123”APP或者登录（https://bj.122.gov.cn）互联网服务平台，完成注册后可在网上根据提示进行预选号牌操作。如有疑问，您可在互联网平台上进行模拟选号或者查看操作指南，或者也可在“交管12123”APP中“服务中心”—“业务指南”里查看相关流程图解。另外，除新车选号可以在线办理外，异地转入选号、本地二手车过户选号、新能源车换发号牌预选号牌均可在线办理。如果对网上选号不满意，申请人还可以在办理上牌手续时，通过现场“50选1”的方式进行选号。或者也可提出申请使用原号牌，如果符合条件并通过审核，可以继续使用原号牌。但需要注意的是，网上预选号成功后，若未在预选号有效期内到车管所确认互联网预选号牌，用户将被加入黑名单，两年内不可再通过互联网预选号牌。
新车的机动车来历证明是什么,新车的机动车来历证明是什么,1、在国内购买的机动车，其来历证明是全国统一的机动车销售发票。在国外购买的机动车，其来历证明是该车销售单位开具的销售发票及其翻译文本，但海关监管的机动车不需提供来历证明；2、机关、企业、事业单位和社会团体统一采购并调拨到下属单位未注册登记的机动车，其来历证明是全国统一的机动车销售发票和该部门出具的调拨证明。,1:::1、在国内购买的机动车，其来历证明是全国统一的机动车销售发票。在国外购买的机动车，其来历证明是该车销售单位开具的销售发票及其翻译文本，但海关监管的机动车不需提供来历证明；2、机关、企业、事业单位和社会团体统一采购并调拨到下属单位未注册登记的机动车，其来历证明是全国统一的机动车销售发票和该部门出具的调拨证明。,1:::1、在国内购买的机动车，其来历证明是全国统一的机动车销售发票。在国外购买的机动车，其来历证明是该车销售单位开具的销售发票及其翻译文本，但海关监管的机动车不需提供来历证明；2、机关、企业、事业单位和社会团体统一采购并调拨到下属单位未注册登记的机动车，其来历证明是全国统一的机动车销售发票和该部门出具的调拨证明。
机动车整车出厂合格证明是什么,机动车整车出厂合格证明是什么,1、机动车整车厂生产的汽车、摩托车、挂车，其出厂合格证明是该厂出具的机动车整车出厂合格证；&#10;2、使用国产或者进口底盘改装的机动车，其出厂合格证明是机动车底盘生产厂出具的机动车底盘出厂合格证或者进口机动车底盘的进口凭证和机动车改装厂出具的机动车整车出厂合格证；&#10;3、使用国产或者进口整车改装的机动车，其出厂合格证明是机动车生产厂出具的机动车整车出厂合格证或者进口机动车的进口凭证和机动车改装厂出具的机动车整车出厂合格证；&#10;4、监察机关、人民法院、人民检察院或者行政执法机关依法扣留、没收并拍卖的未注册登记的国产机动车，未能提供出厂合格证明的，可以凭监察机关、人民法院、人民检察院或者行政执法机关出具的证明替代。,1:::1、机动车整车厂生产的汽车、摩托车、挂车，其出厂合格证明是该厂出具的机动车整车出厂合格证；&#10;2、使用国产或者进口底盘改装的机动车，其出厂合格证明是机动车底盘生产厂出具的机动车底盘出厂合格证或者进口机动车底盘的进口凭证和机动车改装厂出具的机动车整车出厂合格证；&#10;3、使用国产或者进口整车改装的机动车，其出厂合格证明是机动车生产厂出具的机动车整车出厂合格证或者进口机动车的进口凭证和机动车改装厂出具的机动车整车出厂合格证；&#10;4、监察机关、人民法院、人民检察院或者行政执法机关依法扣留、没收并拍卖的未注册登记的国产机动车，未能提供出厂合格证明的，可以凭监察机关、人民法院、人民检察院或者行政执法机关出具的证明替代。,1:::1、机动车整车厂生产的汽车、摩托车、挂车，其出厂合格证明是该厂出具的机动车整车出厂合格证；&#10;2、使用国产或者进口底盘改装的机动车，其出厂合格证明是机动车底盘生产厂出具的机动车底盘出厂合格证或者进口机动车底盘的进口凭证和机动车改装厂出具的机动车整车出厂合格证；&#10;3、使用国产或者进口整车改装的机动车，其出厂合格证明是机动车生产厂出具的机动车整车出厂合格证或者进口机动车的进口凭证和机动车改装厂出具的机动车整车出厂合格证；&#10;4、监察机关、人民法院、人民检察院或者行政执法机关依法扣留、没收并拍卖的未注册登记的国产机动车，未能提供出厂合格证明的，可以凭监察机关、人民法院、人民检察院或者行政执法机关出具的证明替代。
进口机动车的进口凭证是什么,进口机动车的进口凭证是什么,1、进口汽车的进口凭证，是国家限定口岸海关签发的《货物进口证明书》；&#10;2、其他进口机动车的进口凭证，是各口岸海关签发的《货物进口证明书》；&#10;3、海关监管的机动车的进口凭证，是监管地海关出具的《中华人民共和国海关监管车辆进（出）境领（销）牌照通知书》；&#10;4、国家授权的执法部门没收的走私、无进口证明和利用进口关键件非法拼（组）装的机动车的进口凭证，是该部门签发的《没收走私汽车、摩托车证明书》。,1:::1、进口汽车的进口凭证，是国家限定口岸海关签发的《货物进口证明书》；&#10;2、其他进口机动车的进口凭证，是各口岸海关签发的《货物进口证明书》；&#10;3、海关监管的机动车的进口凭证，是监管地海关出具的《中华人民共和国海关监管车辆进（出）境领（销）牌照通知书》；&#10;4、国家授权的执法部门没收的走私、无进口证明和利用进口关键件非法拼（组）装的机动车的进口凭证，是该部门签发的《没收走私汽车、摩托车证明书》。,1:::1、进口汽车的进口凭证，是国家限定口岸海关签发的《货物进口证明书》；&#10;2、其他进口机动车的进口凭证，是各口岸海关签发的《货物进口证明书》；&#10;3、海关监管的机动车的进口凭证，是监管地海关出具的《中华人民共和国海关监管车辆进（出）境领（销）牌照通知书》；&#10;4、国家授权的执法部门没收的走私、无进口证明和利用进口关键件非法拼（组）装的机动车的进口凭证，是该部门签发的《没收走私汽车、摩托车证明书》。
北京的二手车过户至外地办理流程是什么,北京的二手车过户至外地办理流程是什么,请先与转入地交管部门确认是否能接收该车，如果可以接收，车主与买方可选择在下列机动车交易市场办理交易：盛鑫旧机动车交易市场、东方旧机动车交易市场、中联旧机动车交易市场、新发地二手车交易市场、顺潮东旧机动车交易市场（俸伯）、顺潮东旧机动车交易市场第二办公区（南法信）、北京市旧机动车交易市场、北辰亚运村旧机动车交易市场、北京北方汽车交易市场。办理完交易手续后，买方可直接在市场内车管所办公窗口办理转让登记。在异地使用的京牌小客车或摩托车，如果车主准备将车辆过户至当地，买卖双方可直接在当地二手车交易市场办理交易手续，无需再将车辆开回本市。完成交易后，买方可向交易地车辆管理所申请办理转入手续。京牌小客车完成过户手续后，原车主可以申请更新指标。,1:::请先与转入地交管部门确认是否能接收该车，如果可以接收，车主与买方可选择在下列机动车交易市场办理交易：盛鑫旧机动车交易市场、东方旧机动车交易市场、中联旧机动车交易市场、新发地二手车交易市场、顺潮东旧机动车交易市场（俸伯）、顺潮东旧机动车交易市场第二办公区（南法信）、北京市旧机动车交易市场、北辰亚运村旧机动车交易市场、北京北方汽车交易市场。办理完交易手续后，买方可直接在市场内车管所办公窗口办理转让登记。在异地使用的京牌小客车或摩托车，如果车主准备将车辆过户至当地，买卖双方可直接在当地二手车交易市场办理交易手续，无需再将车辆开回本市。完成交易后，买方可向交易地车辆管理所申请办理转入手续。京牌小客车完成过户手续后，原车主可以申请更新指标。,1:::请先与转入地交管部门确认是否能接收该车，如果可以接收，车主与买方可选择在下列机动车交易市场办理交易：盛鑫旧机动车交易市场、东方旧机动车交易市场、中联旧机动车交易市场、新发地二手车交易市场、顺潮东旧机动车交易市场（俸伯）、顺潮东旧机动车交易市场第二办公区（南法信）、北京市旧机动车交易市场、北辰亚运村旧机动车交易市场、北京北方汽车交易市场。办理完交易手续后，买方可直接在市场内车管所办公窗口办理转让登记。在异地使用的京牌小客车或摩托车，如果车主准备将车辆过户至当地，买卖双方可直接在当地二手车交易市场办理交易手续，无需再将车辆开回本市。完成交易后，买方可向交易地车辆管理所申请办理转入手续。京牌小客车完成过户手续后，原车主可以申请更新指标。
如何办理外省市号牌小客车转入本市手续,如何办理外省市号牌小客车转入本市手续,"您好，外省区市号牌小客车转入本市手续流程如下：&#10;1、若申请人已取得本市小客车购车指标，并且在外省市购买的二手小客车符合本市环保标准，则可办理转入本市手续。申请人和卖方在车辆注册地办理交易过户手续，之后办理提档转出手续（具体事宜需咨询当地交管部门），最后再办理转入本市手续。&#10;若转入的车辆在申请人本人名下，那么也可下载“交管12123”APP，申请办理电子化转籍业务，无需提取纸质档案。&#10;2、申请人选任选盛华、通州、学院路、岳各庄、京顺、空港方兴、7421、北方等8家新车检测场办理。需携带以下材料：&#10;（1）现机动车所有人身份证；属于小型、微型非营运载客汽车办理转让登记业务的，机动车所有人免予提交公安机关核发的居住证明或者居住登记证明；&#10;（2）由代理人代理的，还需提交代理人身份证明（代理人为单位的，还需提交经办人身份证明），以及机动车所有人的书面委托,机动车所有人为个人且已通过“交管12123”手机APP申请网上委托的，代理人无需提交纸质委托书;&#10;（3）机动车登记证书；&#10;（4）机动车行驶证；&#10;（5）机动车来历证明（发票）；&#10;（6）超过检验有效期的机动车，还应当提交机动车安全技术检验合格证明和交通事故责任强制保险凭证；&#10;（7）申请小、微载客汽车转让登记或转入本市的，还需提交本市小客车配置或更新指标确认通知书。&#10;若现机动车所有人是单位，身份证明是：单位的《组织机构代码证书》或包含统一社会信用代码的证件、加盖单位公章的委托书和被委托人的身份证明。","1:::您好，外省区市号牌小客车转入本市手续流程如下：&#10;1、若申请人已取得本市小客车购车指标，并且在外省市购买的二手小客车符合本市环保标准，则可办理转入本市手续。申请人和卖方在车辆注册地办理交易过户手续，之后办理提档转出手续（具体事宜需咨询当地交管部门），最后再办理转入本市手续。&#10;若转入的车辆在申请人本人名下，那么也可下载“交管12123”APP，申请办理电子化转籍业务，无需提取纸质档案。&#10;2、申请人选任选盛华、通州、学院路、岳各庄、京顺、空港方兴、7421、北方等8家新车检测场办理。需携带以下材料：&#10;（1）现机动车所有人身份证；属于小型、微型非营运载客汽车办理转让登记业务的，机动车所有人免予提交公安机关核发的居住证明或者居住登记证明；&#10;（2）由代理人代理的，还需提交代理人身份证明（代理人为单位的，还需提交经办人身份证明），以及机动车所有人的书面委托,机动车所有人为个人且已通过“交管12123”手机APP申请网上委托的，代理人无需提交纸质委托书;&#10;（3）机动车登记证书；&#10;（4）机动车行驶证；&#10;（5）机动车来历证明（发票）；&#10;（6）超过检验有效期的机动车，还应当提交机动车安全技术检验合格证明和交通事故责任强制保险凭证；&#10;（7）申请小、微载客汽车转让登记或转入本市的，还需提交本市小客车配置或更新指标确认通知书。&#10;若现机动车所有人是单位，身份证明是：单位的《组织机构代码证书》或包含统一社会信用代码的证件、加盖单位公章的委托书和被委托人的身份证明。","1:::您好，外省区市号牌小客车转入本市手续流程如下：&#10;1、若申请人已取得本市小客车购车指标，并且在外省市购买的二手小客车符合本市环保标准，则可办理转入本市手续。申请人和卖方在车辆注册地办理交易过户手续，之后办理提档转出手续（具体事宜需咨询当地交管部门），最后再办理转入本市手续。&#10;若转入的车辆在申请人本人名下，那么也可下载“交管12123”APP，申请办理电子化转籍业务，无需提取纸质档案。&#10;2、申请人选任选盛华、通州、学院路、岳各庄、京顺、空港方兴、7421、北方等8家新车检测场办理。需携带以下材料：&#10;（1）现机动车所有人身份证；属于小型、微型非营运载客汽车办理转让登记业务的，机动车所有人免予提交公安机关核发的居住证明或者居住登记证明；&#10;（2）由代理人代理的，还需提交代理人身份证明（代理人为单位的，还需提交经办人身份证明），以及机动车所有人的书面委托,机动车所有人为个人且已通过“交管12123”手机APP申请网上委托的，代理人无需提交纸质委托书;&#10;（3）机动车登记证书；&#10;（4）机动车行驶证；&#10;（5）机动车来历证明（发票）；&#10;（6）超过检验有效期的机动车，还应当提交机动车安全技术检验合格证明和交通事故责任强制保险凭证；&#10;（7）申请小、微载客汽车转让登记或转入本市的，还需提交本市小客车配置或更新指标确认通知书。&#10;若现机动车所有人是单位，身份证明是：单位的《组织机构代码证书》或包含统一社会信用代码的证件、加盖单位公章的委托书和被委托人的身份证明。"
